Date,Open,High,Low,Close,Adj Close,Volume,DayOfTheWeek,WeekOf
2014-09-19,201.520004,201.899994,200.289993,200.699997,170.533096,121649000.0,Friday,9/15/14
2014-09-22,200.350006,200.380005,198.729996,199.149994,169.216034,125553000.0,Monday,9/22/14
2014-09-25,199.039993,199.050003,196.270004,196.339996,166.828415,150300000.0,Thursday,9/22/14
2014-09-26,196.699997,198.389999,196.419998,197.899994,168.153915,103547000.0,Friday,9/22/14
2014-09-29,196.199997,197.889999,196.050003,197.539993,167.848053,95112000.0,Monday,9/29/14
2014-10-02,194.179993,195.059998,192.350006,194.380005,165.163025,157285000.0,Thursday,9/29/14
2014-10-03,195.679993,196.940002,195.080002,196.520004,166.981369,121569000.0,Friday,9/29/14
2014-10-06,197.339996,197.600006,195.580002,196.289993,166.785934,104778000.0,Monday,10/6/14
2014-10-09,196.330002,196.600006,192.580002,192.740005,163.769592,210705000.0,Thursday,10/6/14
2014-10-10,192.690002,193.649994,190.490005,190.539993,161.900208,221909000.0,Friday,10/6/14
2014-10-13,190.460007,191.149994,187.300003,187.410004,159.240692,230939000.0,Monday,10/13/14
2014-10-16,183.059998,187.580002,182.889999,186.270004,158.272018,270391000.0,Thursday,10/13/14
2014-10-17,188.419998,189.75,187.619995,188.470001,160.141373,214625000.0,Friday,10/13/14
2014-10-20,188.130005,190.449997,188.070007,190.300003,161.696274,130011000.0,Monday,10/20/14
2014-10-23,194.619995,196.199997,194.259995,194.929993,165.630341,154944000.0,Thursday,10/20/14
2014-10-24,195.25,196.490005,194.490005,196.429993,166.904892,117927000.0,Friday,10/20/14
2014-10-27,195.729996,196.449997,195.029999,196.160004,166.675507,82954000.0,Monday,10/27/14
2014-10-30,197.580002,199.949997,197.399994,199.380005,169.411514,113330000.0,Thursday,10/27/14
2014-10-31,201.779999,201.820007,200.770004,201.660004,171.348724,146903000.0,Friday,10/27/14
2014-11-03,201.919998,202.449997,201.309998,201.770004,171.442276,93600000.0,Monday,11/3/14
2014-11-06,202.389999,203.259995,201.639999,203.149994,172.614853,107089000.0,Thursday,11/3/14
2014-11-07,203.169998,203.600006,202.610001,203.339996,172.776276,89540000.0,Friday,11/3/14
2014-11-10,203.380005,204.039993,203.130005,203.979996,173.320068,66319000.0,Monday,11/10/14
2014-11-13,204.160004,204.830002,203.210007,204.190002,173.49855,85357900.0,Thursday,11/10/14
2014-11-14,204.100006,204.490005,203.720001,204.240005,173.541,80417500.0,Friday,11/10/14
2014-11-17,203.850006,204.580002,203.649994,204.369995,173.651428,80441000.0,Monday,11/17/14
2014-11-20,204.259995,205.710007,204.179993,205.580002,174.679504,72840300.0,Thursday,11/17/14
2014-11-21,207.639999,207.839996,205.979996,206.679993,175.614258,142327300.0,Friday,11/17/14
