Date,Open,High,Low,Close,Adj Close,Volume
5/17/22,406.529999,408.570007,402.579987,408.320007,398.625244,83029700
5/18/22,403.5,403.799988,390.549988,391.859985,382.55603,117674500
5/19/22,388.619995,394.140015,387.109985,389.459991,380.213043,98510700
5/20/22,393.25,397.029999,380.540009,389.630005,380.378998,131432200
5/23/22,392.829987,397.730011,390.380005,396.920013,387.495941,76414900
5/24/22,392.559998,395.149994,386.959991,393.890015,384.537872,91448800
5/25/22,392.309998,399.450012,391.890015,397.369995,387.935211,91472900
5/26/22,398.670013,407.040009,398.450012,405.309998,395.686707,82168300
5/27/22,407.910004,415.380005,407.700012,415.26001,405.400482,84768700
5/31/22,413.549988,416.459991,410.029999,412.929993,403.125763,95937000
6/1/22,415.170013,416.23999,406.929993,409.589996,399.865082,86585800
6/2/22,409.420013,417.440002,407.040009,417.390015,407.479919,79609600
6/3/22,412.399994,414.040009,409.51001,410.540009,400.792542,71874300
6/6/22,414.779999,416.609985,410.549988,411.790009,402.012848,57508900
6/7/22,408.100006,416.220001,407.609985,415.73999,405.869049,59272400
6/8/22,413.929993,415.820007,410.380005,411.220001,401.45639,64350000
6/9/22,409.339996,411.73999,401.440002,401.440002,391.90863,86289800
6/10/22,394.880005,395.779999,389.75,389.799988,380.544952,132893900
6/13/22,379.850006,381.809998,373.299988,375,366.096375,170004900
6/14/22,376.850006,377.940002,370.589996,373.869995,364.993195,104011800
6/15/22,377.359985,383.899994,372.119995,379.200012,370.196686,125666800
6/16/22,370.51001,370.940002,364.079987,366.649994,357.944641,134473300
6/17/22,365.51001,369.380005,362.170013,365.859985,358.716248,111113900
6/21/22,371.890015,376.529999,371.809998,375.070007,367.746429,76811900
6/22/22,370.619995,378.720001,370.179993,374.390015,367.079742,90059400
6/23/22,376.640015,378.829987,372.890015,378.059998,370.67807,79292100
6/24/22,381.399994,390.089996,381.369995,390.079987,382.463318,98050300
6/27/22,391.049988,391.359985,387.440002,388.589996,381.002441,66009600
6/28/22,390.230011,393.160004,380.529999,380.649994,373.217499,86548900
6/29/22,381.230011,382.269989,378.420013,380.339996,372.913483,65676000
6/30/22,376.23999,380.660004,372.559998,377.25,369.883881,112508300
7/1/22,376.559998,381.700012,373.799988,381.23999,373.795959,74839700
7/5/22,375.880005,381.980011,372.899994,381.959991,374.501892,81438000
7/6/22,382.109985,385.869995,379.600006,383.25,375.766693,70426200
7/7/22,385.119995,389.829987,383.269989,388.98999,381.394592,64525900
7/8/22,387.269989,390.640015,385.660004,388.670013,381.080872,72397800
7/11/22,385.850006,386.869995,383.5,384.230011,376.72757,58366900
7/12/22,383.649994,386.160004,378.98999,380.829987,373.393921,62219200
7/13/22,375.100006,381.920013,374.660004,378.829987,371.432983,84224600
7/14/22,373.609985,379.049988,371.040009,377.910004,370.531006,89704800
7/15/22,382.549988,385.25,380.540009,385.130005,377.610016,79060400
7/18/22,388.380005,389.089996,380.660004,381.950012,374.492096,63203600
